Row,Returning.visits
1974,514.3502
1975,282.08597
1976,461.46616
1977,479.77405
1978,729.95715
1979,700.17596
1980,514.3501
1981,542.74835
1982,456.81726
1983,306.03265
1984,217.78725
1985,810.4774
1986,334.5979
1987,473.06232
1988,453.71005
1989,643.4812
1990,414.00034
1991,554.581
1992,564.2071
1993,291.82397
1994,583.24457
1995,535.14386
1996,462.9711
1997,247.90096
1998,589.2441
1999,496.0106
2000,277.56763
2001,394.2067
2002,668.4599
2003,422.55762
2004,632.7577
2005,403.7199
2006,471.8048
2007,549.419
2008,249.61812
2009,588.3916
2010,389.45132
2011,355.66605
2012,789.16077
2013,696.9015
2014,505.90628
2015,346.14206
2016,887.8222
2017,353.4356
2018,451.76102
2019,853.30023
2020,205.63599
2021,581.3428
2022,574.4723
2023,307.7687
2024,350.35977
2025,501.7651
2026,827.3417
2027,246.47284
2028,547.4531
2029,499.7575
2030,449.67786
2031,215.97588
2032,627.0863
2033,294.03732
2034,341.3917
2035,327.3016
2036,480.15826
2037,568.6704
2038,509.928
2039,556.7426
2040,540.36975
2041,651.14636
2042,654.3996
2043,403.96048
2044,580.309
2045,758.4546
2046,611.66785
2047,457.06903
2048,316.64786
2049,291.92728
2050,795.76917
2051,488.5117
2052,816.45905
2053,320.66095
2054,626.4441
2055,432.00314
2056,348.72122
2057,859.7759
2058,449.93652
2059,446.32895
2060,683.76636
2061,377.25723
2062,717.584
2063,446.68634
2064,332.72195
2065,320.54053
2066,422.1571
2067,503.78864
2068,566.4716
2069,243.1901
2070,521.69476
2071,504.77072
2072,587.1998
2073,593.2787
2074,542.3776
2075,703.46924
2076,635.0598
2077,479.90768
2078,649.9101
2079,735.07135
2080,768.846
2081,481.63785
2082,484.77585
2083,731.72284
2084,481.45316
2085,151.0701
2086,521.7775
2087,416.65863
2088,719.47424
2089,562.0608
2090,427.9851
2091,752.1602
2092,445.3991
2093,386.61374
2094,582.6348
2095,473.83044
2096,767.9599
2097,214.37813
2098,381.71118
2099,608.25555
2100,423.58313
2101,305.36487
2102,275.77554
2103,679.2751
2104,698.1349
2105,497.84885
2106,607.1252
2107,334.45517
2108,409.07144
2109,422.65805
2110,715.9688
2111,520.74884
2112,627.3912
2113,477.95847
2114,259.89948
2115,704.21216
2116,594.76013
2117,663.53357
2118,297.123
2119,484.21136
2120,405.68204
2121,634.86804
2122,671.293
2123,236.18953
2124,485.3238
2125,537.81354
2126,506.1695
2127,398.98178
2128,669.2868
2129,381.07053
2130,448.01785
2131,396.46698
2132,549.81085
2133,512.76984
2134,383.8767
2135,644.2578
2136,222.96306
2137,574.8308
2138,458.81808
2139,583.6658
2140,443.58243
2141,483.0597
2142,242.77023
2143,537.1096
2144,529.171
2145,437.22406
2146,311.47098
2147,401.87204
2148,651.0333
2149,430.79236
2150,447.2653
2151,474.8138
2152,599.5831
2153,424.9509
2154,297.64685
2155,752.9295
2156,473.42886
2157,429.592
2158,356.69034
2159,534.61816
2160,392.8843
2161,627.1557
2162,455.14127
2163,699.8412
2164,634.87256
2165,346.75693
2166,511.1163
2167,582.14874
